rollout/ep_rew_mean,time/fps,eval/mean_reward,time/total_timesteps,train/n_updates,eval/std_reward,eval/mean_ep_length,train/learning_rate,rollout/ep_len_mean,time/iterations,train/critic_loss,train/actor_loss,training/completed
2.890920816306162,93.37541230026144,2.6956466765116947,14800,14700,2.856485593315096,4,0.0001,500.0,148,0.00020165702153462917,-0.01601436920464039,
3.737483922406503,110.2749970750586,2.1481811006320375,15200,15100,0.44227469760026755,4,0.0001,500.0,152,0.005063728895038366,-0.007356251589953899,
3.418086468078259,94.63774129577521,5.973818682134377,15600,15500,3.46837242540043,4,0.0001,500.0,156,0.00018417270621284842,-0.012972056865692139,
3.8791771256922503,11.298238655756817,3.5014194647102395,16000,15900,3.1454937400595413,4,0.0001,500.0,160,0.00018413634097669274,-0.016272088512778282,
4.340267783306243,119.04097505486159,5.148379633418366,16400,16300,1.3229098829262251,4,0.0001,500.0,164,0.00011281142360530794,-0.012608536519110203,
5.118046922352041,105.89441218974984,4.199496815217057,16800,16700,4.7071884241108775,4,0.0001,500.0,168,0.00018767095752991736,-0.010022607631981373,
4.303749386634661,113.03984810529138,4.562443674958299,17200,17100,3.323621717589517,4,0.0001,500.0,172,0.0001522436796221882,-0.007484018336981535,
4.974271322848656,149.35379077954963,7.326194005843904,17600,17500,6.412452817870471,4,0.0001,500.0,176,0.00015650090062990785,-0.017605049535632133,
3.9305081339008416,11.568638023996979,5.124965607743417,18000,17900,3.3756138902135326,4,0.0001,500.0,180,0.00015473371604457498,-0.009823000989854336,
2.886744944953027,107.91246705164835,9.533713420502384,18400,18300,5.930277428662485,4,0.0001,500.0,184,0.0001497803459642455,-0.01583791896700859,
1.3329329016600275,100.09689173231916,7.674227096905849,18800,18700,6.337852561543632,4,0.0001,500.0,188,0.00014480113168247044,-0.007772703655064106,
1.7523614601717195,88.17092231157564,5.017441461319885,19200,19100,1.8402233636774428,4,0.0001,500.0,192,0.00019485825032461435,-0.02018648386001587,
